"IsDepDelayed","fYear","fMonth","fDayofMonth","fDayOfWeek","UniqueCarrier","Origin","Dest","Distance"
"YES","f1990","f1","f17","f3","US","CLE","IND",261
"NO","f1990","f1","f19","f5","US","CLE","IND",261
"YES","f1990","f1","f20","f6","US","CLE","IND",261
"NO","f1990","f1","f22","f1","US","CLE","IND",261
"NO","f1990","f1","f23","f2","US","CLE","IND",261
"YES","f1990","f1","f24","f3","US","CLE","IND",261
"YES","f1990","f1","f25","f4","US","CLE","IND",261
"NO","f1990","f1","f26","f5","US","CLE","IND",261
"NO","f1990","f1","f27","f6","US","CLE","IND",261
"NO","f1990","f1","f28","f7","US","CLE","IND",261
"YES","f1990","f1","f29","f1","US","CLE","IND",261
"YES","f1990","f1","f30","f2","US","CLE","IND",261
"YES","f1990","f1","f2","f2","US","LGA","CLE",418
"YES","f1990","f1","f6","f6","US","LGA","CLE",418
"YES","f1990","f1","f8","f1","US","LGA","CLE",418
"YES","f1990","f1","f9","f2","US","LGA","CLE",418
"YES","f1990","f1","f10","f3","US","LGA","CLE",418
"NO","f1990","f1","f11","f4","US","LGA","CLE",418
"NO","f1990","f1","f12","f5","US","LGA","CLE",418
"YES","f1990","f1","f13","f6","US","LGA","CLE",418
"YES","f1990","f1","f14","f7","US","LGA","CLE",418
"NO","f1990","f1","f15","f1","US","LGA","CLE",418
"YES","f1990","f1","f16","f2","US","LGA","CLE",418
"YES","f1990","f1","f18","f4","US","LGA","CLE",418
"NO","f1990","f1","f19","f5","US","LGA","CLE",418
"YES","f1990","f1","f20","f6","US","LGA","CLE",418
"YES","f1990","f1","f21","f7","US","LGA","CLE",418
"YES","f1990","f1","f22","f1","US","LGA","CLE",418
"YES","f1990","f1","f23","f2","US","LGA","CLE",418
"NO","f1990","f1","f24","f3","US","LGA","CLE",418
"YES","f1990","f1","f25","f4","US","LGA","CLE",418
"YES","f1990","f1","f26","f5","US","LGA","CLE",418
"NO","f1990","f1","f27","f6","US","LGA","CLE",418
"YES","f1990","f1","f28","f7","US","LGA","CLE",418
"YES","f1990","f1","f29","f1","US","LGA","CLE",418
"YES","f1990","f1","f30","f2","US","LGA","CLE",418
"NO","f1990","f1","f31","f3","US","LGA","CLE",418
"YES","f1990","f1","f1","f1","US","CLE","LGA",418
"YES","f1990","f1","f2","f2","US","CLE","LGA",418
"NO","f1990","f1","f3","f3","US","CLE","LGA",418
"YES","f1990","f1","f4","f4","US","CLE","LGA",418
"NO","f1990","f1","f5","f5","US","CLE","LGA",418
"NO","f1990","f1","f6","f6","US","CLE","LGA",418
"NO","f1990","f1","f7","f7","US","CLE","LGA",418
"YES","f1990","f1","f8","f1","US","CLE","LGA",418
"NO","f1990","f1","f9","f2","US","CLE","LGA",418
"YES","f1990","f1","f10","f3","US","CLE","LGA",418
"NO","f1990","f1","f11","f4","US","CLE","LGA",418
"YES","f1990","f1","f12","f5","US","CLE","LGA",418
"NO","f1990","f1","f13","f6","US","CLE","LGA",418
"NO","f1990","f1","f14","f7","US","CLE","LGA",418
"NO","f1990","f1","f15","f1","US","CLE","LGA",418
"YES","f1990","f1","f16","f2","US","CLE","LGA",418
"NO","f1990","f1","f17","f3","US","CLE","LGA",418
"YES","f1990","f1","f18","f4","US","CLE","LGA",418
"NO","f1990","f1","f19","f5","US","CLE","LGA",418
"NO","f1990","f1","f20","f6","US","CLE","LGA",418
"YES","f1990","f1","f21","f7","US","CLE","LGA",418
"YES","f1990","f1","f22","f1","US","CLE","LGA",418
"NO","f1990","f1","f23","f2","US","CLE","LGA",418
"NO","f1990","f1","f24","f3","US","CLE","LGA",418
"YES","f1990","f1","f25","f4","US","CLE","LGA",418
"NO","f1990","f1","f27","f6","US","CLE","LGA",418
"YES","f1990","f1","f28","f7","US","CLE","LGA",418
"YES","f1990","f1","f29","f1","US","CLE","LGA",418
"YES","f1990","f1","f30","f2","US","CLE","LGA",418
"YES","f1990","f1","f31","f3","US","CLE","LGA",418
"YES","f1990","f1","f2","f2","US","PIT","MCO",834
"YES","f1990","f1","f3","f3","US","PIT","MCO",834
"YES","f1990","f1","f4","f4","US","PIT","MCO",834
"YES","f1990","f1","f5","f5","US","PIT","MCO",834
"YES","f1990","f1","f6","f6","US","PIT","MCO",834
"YES","f1990","f1","f7","f7","US","PIT","MCO",834
"YES","f1990","f1","f8","f1","US","PIT","MCO",834
"YES","f1990","f1","f9","f2","US","PIT","MCO",834
"YES","f1990","f1","f10","f3","US","PIT","MCO",834
"YES","f1990","f1","f11","f4","US","PIT","MCO",834
"YES","f1990","f1","f13","f6","US","PIT","MCO",834
"NO","f1990","f1","f14","f7","US","PIT","MCO",834
"YES","f1990","f1","f15","f1","US","PIT","MCO",834
"YES","f1990","f1","f16","f2","US","PIT","MCO",834
"YES","f1990","f1","f17","f3","US","PIT","MCO",834
"YES","f1990","f1","f19","f5","US","PIT","MCO",834
"YES","f1990","f1","f20","f6","US","PIT","MCO",834
"YES","f1990","f1","f21","f7","US","PIT","MCO",834
"YES","f1990","f1","f22","f1","US","PIT","MCO",834
"NO","f1990","f1","f23","f2","US","PIT","MCO",834
"YES","f1990","f1","f24","f3","US","PIT","MCO",834
"YES","f1990","f1","f26","f5","US","PIT","MCO",834
"NO","f1990","f1","f27","f6","US","PIT","MCO",834
"YES","f1990","f1","f28","f7","US","PIT","MCO",834
"YES","f1990","f1","f29","f1","US","PIT","MCO",834
"NO","f1990","f1","f30","f2","US","PIT","MCO",834
"YES","f1990","f1","f31","f3","US","PIT","MCO",834
"YES","f1990","f1","f1","f1","US","PVD","PIT",467
"YES","f1990","f1","f2","f2","US","PVD","PIT",467
"YES","f1990","f1","f3","f3","US","PVD","PIT",467
"YES","f1990","f1","f5","f5","US","PVD","PIT",467
"YES","f1990","f1","f6","f6","US","PVD","PIT",467
"YES","f1990","f1","f7","f7","US","PVD","PIT",467
"YES","f1990","f1","f9","f2","US","PVD","PIT",467
"YES","f1990","f1","f10","f3","US","PVD","PIT",467
"YES","f1990","f1","f11","f4","US","PVD","PIT",467
"YES","f1990","f1","f12","f5","US","PVD","PIT",467
"NO","f1990","f1","f13","f6","US","PVD","PIT",467
"YES","f1990","f1","f14","f7","US","PVD","PIT",467
"YES","f1990","f1","f15","f1","US","PVD","PIT",467
"NO","f1990","f1","f16","f2","US","PVD","PIT",467
"NO","f1990","f1","f17","f3","US","PVD","PIT",467
"NO","f1990","f1","f18","f4","US","PVD","PIT",467
"NO","f1990","f1","f19","f5","US","PVD","PIT",467
"YES","f1990","f1","f20","f6","US","PVD","PIT",467
"NO","f1990","f1","f21","f7","US","PVD","PIT",467
"NO","f1990","f1","f22","f1","US","PVD","PIT",467
"NO","f1990","f1","f23","f2","US","PVD","PIT",467
"YES","f1990","f1","f24","f3","US","PVD","PIT",467
"YES","f1990","f1","f26","f5","US","PVD","PIT",467
"NO","f1990","f1","f27","f6","US","PVD","PIT",467
"NO","f1990","f1","f29","f1","US","PVD","PIT",467
"NO","f1990","f1","f30","f2","US","PVD","PIT",467
"NO","f1990","f1","f31","f3","US","PVD","PIT",467
"YES","f1990","f1","f1","f1","US","DCA","IND",499
"YES","f1990","f1","f2","f2","US","DCA","IND",499
"NO","f1990","f1","f3","f3","US","DCA","IND",499
"YES","f1990","f1","f4","f4","US","DCA","IND",499
"NO","f1990","f1","f5","f5","US","DCA","IND",499
"YES","f1990","f1","f6","f6","US","DCA","IND",499
"NO","f1990","f1","f7","f7","US","DCA","IND",499
"NO","f1990","f1","f10","f3","US","DCA","IND",499
"NO","f1990","f1","f11","f4","US","DCA","IND",499
"NO","f1990","f1","f12","f5","US","DCA","IND",499
"NO","f1990","f1","f13","f6","US","DCA","IND",499
"NO","f1990","f1","f14","f7","US","DCA","IND",499
"YES","f1990","f1","f15","f1","US","DCA","IND",499
"NO","f1990","f1","f16","f2","US","DCA","IND",499
"YES","f1990","f1","f17","f3","US","DCA","IND",499
"YES","f1990","f1","f18","f4","US","DCA","IND",499
"NO","f1990","f1","f19","f5","US","DCA","IND",499
"NO","f1990","f1","f20","f6","US","DCA","IND",499
"NO","f1990","f1","f21","f7","US","DCA","IND",499
"NO","f1990","f1","f23","f2","US","DCA","IND",499
"NO","f1990","f1","f24","f3","US","DCA","IND",499
"NO","f1990","f1","f25","f4","US","DCA","IND",499
"NO","f1990","f1","f27","f6","US","DCA","IND",499
"NO","f1990","f1","f30","f2","US","DCA","IND",499
"YES","f1990","f1","f31","f3","US","DCA","IND",499
"YES","f1990","f1","f1","f1","US","IND","LAX",1814
"YES","f1990","f1","f2","f2","US","IND","LAX",1814
"YES","f1990","f1","f3","f3","US","IND","LAX",1814
"YES","f1990","f1","f4","f4","US","IND","LAX",1814
"YES","f1990","f1","f5","f5","US","IND","LAX",1814
"YES","f1990","f1","f6","f6","US","IND","LAX",1814
"NO","f1990","f1","f7","f7","US","IND","LAX",1814
"YES","f1990","f1","f8","f1","US","IND","LAX",1814
"NO","f1990","f1","f9","f2","US","IND","LAX",1814
"NO","f1990","f1","f10","f3","US","IND","LAX",1814
"NO","f1990","f1","f11","f4","US","IND","LAX",1814
"YES","f1990","f1","f12","f5","US","IND","LAX",1814
"YES","f1990","f1","f13","f6","US","IND","LAX",1814
"YES","f1990","f1","f14","f7","US","IND","LAX",1814
"YES","f1990","f1","f15","f1","US","IND","LAX",1814
"YES","f1990","f1","f16","f2","US","IND","LAX",1814
"YES","f1990","f1","f17","f3","US","IND","LAX",1814
"YES","f1990","f1","f18","f4","US","IND","LAX",1814
"NO","f1990","f1","f19","f5","US","IND","LAX",1814
"NO","f1990","f1","f20","f6","US","IND","LAX",1814
"YES","f1990","f1","f21","f7","US","IND","LAX",1814
"YES","f1990","f1","f22","f1","US","IND","LAX",1814
"YES","f1990","f1","f23","f2","US","IND","LAX",1814
"NO","f1990","f1","f24","f3","US","IND","LAX",1814
"NO","f1990","f1","f25","f4","US","IND","LAX",1814
"YES","f1990","f1","f26","f5","US","IND","LAX",1814
"YES","f1990","f1","f27","f6","US","IND","LAX",1814
"YES","f1990","f1","f28","f7","US","IND","LAX",1814
"YES","f1990","f1","f29","f1","US","IND","LAX",1814
"YES","f1990","f1","f30","f2","US","IND","LAX",1814
"YES","f1990","f1","f31","f3","US","IND","LAX",1814
"YES","f1990","f1","f1","f1","US","PIT","EWR",319
"YES","f1990","f1","f2","f2","US","PIT","EWR",319
"YES","f1990","f1","f1","f1","US","PSP","SAN",85
"YES","f1990","f1","f2","f2","US","PSP","SAN",85
"YES","f1990","f1","f3","f3","US","PSP","SAN",85
"YES","f1990","f1","f1","f1","US","SAN","PIT",2106
"YES","f1990","f1","f2","f2","US","SAN","PIT",2106
"YES","f1990","f1","f3","f3","US","SAN","PIT",2106
"YES","f1990","f1","f1","f1","US","SFO","PSP",421
"YES","f1990","f1","f3","f3","US","SFO","PSP",421
"YES","f1990","f1","f1","f1","US","ABQ","TUS",321
"YES","f1990","f1","f2","f2","US","ABQ","TUS",321
"YES","f1990","f1","f3","f3","US","ABQ","TUS",321
"YES","f1990","f1","f4","f4","US","ABQ","TUS",321
"YES","f1990","f1","f5","f5","US","ABQ","TUS",321
"YES","f1990","f1","f6","f6","US","ABQ","TUS",321
"YES","f1990","f1","f7","f7","US","ABQ","TUS",321
"YES","f1990","f1","f8","f1","US","ABQ","TUS",321
"YES","f1990","f1","f10","f3","US","ABQ","TUS",321
"YES","f1990","f1","f12","f5","US","ABQ","TUS",321
"NO","f1990","f1","f14","f7","US","ABQ","TUS",321
"YES","f1990","f1","f15","f1","US","ABQ","TUS",321
"YES","f1990","f1","f16","f2","US","ABQ","TUS",321
"YES","f1990","f1","f17","f3","US","ABQ","TUS",321
"NO","f1990","f1","f18","f4","US","ABQ","TUS",321
"NO","f1990","f1","f19","f5","US","ABQ","TUS",321
"YES","f1990","f1","f20","f6","US","ABQ","TUS",321
"NO","f1990","f1","f21","f7","US","ABQ","TUS",321
"NO","f1990","f1","f22","f1","US","ABQ","TUS",321
"YES","f1990","f1","f24","f3","US","ABQ","TUS",321
"YES","f1990","f1","f25","f4","US","ABQ","TUS",321
"YES","f1990","f1","f26","f5","US","ABQ","TUS",321
"NO","f1990","f1","f27","f6","US","ABQ","TUS",321
"NO","f1990","f1","f29","f1","US","ABQ","TUS",321
"NO","f1990","f1","f30","f2","US","ABQ","TUS",321
"NO","f1990","f1","f31","f3","US","ABQ","TUS",321
"YES","f1990","f1","f1","f1","US","LAX","SAN",109
"YES","f1990","f1","f3","f3","US","LAX","SAN",109
"YES","f1990","f1","f4","f4","US","LAX","SAN",109
"YES","f1990","f1","f6","f6","US","LAX","SAN",109
"YES","f1990","f1","f7","f7","US","LAX","SAN",109
"YES","f1990","f1","f8","f1","US","LAX","SAN",109
"YES","f1990","f1","f9","f2","US","LAX","SAN",109
"YES","f1990","f1","f10","f3","US","LAX","SAN",109
"NO","f1990","f1","f11","f4","US","LAX","SAN",109
"YES","f1990","f1","f12","f5","US","LAX","SAN",109
"YES","f1990","f1","f13","f6","US","LAX","SAN",109
"YES","f1990","f1","f14","f7","US","LAX","SAN",109
"YES","f1990","f1","f15","f1","US","LAX","SAN",109
"NO","f1990","f1","f16","f2","US","LAX","SAN",109
"YES","f1990","f1","f17","f3","US","LAX","SAN",109
"NO","f1990","f1","f18","f4","US","LAX","SAN",109
"YES","f1990","f1","f19","f5","US","LAX","SAN",109
"NO","f1990","f1","f20","f6","US","LAX","SAN",109
"NO","f1990","f1","f22","f1","US","LAX","SAN",109
"NO","f1990","f1","f23","f2","US","LAX","SAN",109
"YES","f1990","f1","f24","f3","US","LAX","SAN",109
"NO","f1990","f1","f25","f4","US","LAX","SAN",109
"NO","f1990","f1","f26","f5","US","LAX","SAN",109
"NO","f1990","f1","f28","f7","US","LAX","SAN",109
"YES","f1990","f1","f30","f2","US","LAX","SAN",109
"NO","f1990","f1","f31","f3","US","LAX","SAN",109
"YES","f1990","f1","f1","f1","US","LGA","PIT",335
"YES","f1990","f1","f2","f2","US","LGA","PIT",335
"YES","f1990","f1","f4","f4","US","LGA","PIT",335
"NO","f1990","f1","f5","f5","US","LGA","PIT",335
"YES","f1990","f1","f6","f6","US","LGA","PIT",335
"YES","f1990","f1","f7","f7","US","LGA","PIT",335
"YES","f1990","f1","f8","f1","US","LGA","PIT",335
"YES","f1990","f1","f9","f2","US","LGA","PIT",335
"NO","f1990","f1","f10","f3","US","LGA","PIT",335
"NO","f1990","f1","f11","f4","US","LGA","PIT",335
"YES","f1990","f1","f12","f5","US","LGA","PIT",335
"YES","f1990","f1","f13","f6","US","LGA","PIT",335
"YES","f1990","f1","f14","f7","US","LGA","PIT",335
"YES","f1990","f1","f15","f1","US","LGA","PIT",335
"NO","f1990","f1","f16","f2","US","LGA","PIT",335
"YES","f1990","f1","f17","f3","US","LGA","PIT",335
"YES","f1990","f1","f20","f6","US","LGA","PIT",335
"YES","f1990","f1","f22","f1","US","LGA","PIT",335
"YES","f1990","f1","f23","f2","US","LGA","PIT",335
"YES","f1990","f1","f24","f3","US","LGA","PIT",335
"YES","f1990","f1","f25","f4","US","LGA","PIT",335
"YES","f1990","f1","f26","f5","US","LGA","PIT",335
"YES","f1990","f1","f27","f6","US","LGA","PIT",335
"YES","f1990","f1","f28","f7","US","LGA","PIT",335
"YES","f1990","f1","f29","f1","US","LGA","PIT",335
"YES","f1990","f1","f30","f2","US","LGA","PIT",335
"YES","f1990","f1","f1","f1","US","PIT","ABQ",1486
"YES","f1990","f1","f2","f2","US","PIT","ABQ",1486
"YES","f1990","f1","f4","f4","US","PIT","ABQ",1486
"YES","f1990","f1","f6","f6","US","PIT","ABQ",1486
"YES","f1990","f1","f7","f7","US","PIT","ABQ",1486
"YES","f1990","f1","f8","f1","US","PIT","ABQ",1486
"YES","f1990","f1","f9","f2","US","PIT","ABQ",1486
"YES","f1990","f1","f10","f3","US","PIT","ABQ",1486
"YES","f1990","f1","f14","f7","US","PIT","ABQ",1486
"YES","f1990","f1","f15","f1","US","PIT","ABQ",1486
"YES","f1990","f1","f16","f2","US","PIT","ABQ",1486
"YES","f1990","f1","f17","f3","US","PIT","ABQ",1486
"YES","f1990","f1","f18","f4","US","PIT","ABQ",1486
"YES","f1990","f1","f19","f5","US","PIT","ABQ",1486
"YES","f1990","f1","f20","f6","US","PIT","ABQ",1486
"YES","f1990","f1","f21","f7","US","PIT","ABQ",1486
"YES","f1990","f1","f22","f1","US","PIT","ABQ",1486
"YES","f1990","f1","f23","f2","US","PIT","ABQ",1486
"YES","f1990","f1","f24","f3","US","PIT","ABQ",1486
"YES","f1990","f1","f25","f4","US","PIT","ABQ",1486
"YES","f1990","f1","f26","f5","US","PIT","ABQ",1486
"YES","f1990","f1","f27","f6","US","PIT","ABQ",1486
"NO","f1990","f1","f28","f7","US","PIT","ABQ",1486
"YES","f1990","f1","f29","f1","US","PIT","ABQ",1486
"YES","f1990","f1","f30","f2","US","PIT","ABQ",1486
"YES","f1990","f1","f31","f3","US","PIT","ABQ",1486
"YES","f1990","f1","f1","f1","US","TUS","LAX",451
"YES","f1990","f1","f2","f2","US","TUS","LAX",451
"YES","f1990","f1","f3","f3","US","TUS","LAX",451
"YES","f1990","f1","f4","f4","US","TUS","LAX",451
"YES","f1990","f1","f5","f5","US","TUS","LAX",451
"YES","f1990","f1","f6","f6","US","TUS","LAX",451
"YES","f1990","f1","f7","f7","US","TUS","LAX",451
"YES","f1990","f1","f8","f1","US","TUS","LAX",451
"YES","f1990","f1","f10","f3","US","TUS","LAX",451
"YES","f1990","f1","f13","f6","US","TUS","LAX",451
"YES","f1990","f1","f14","f7","US","TUS","LAX",451
"YES","f1990","f1","f15","f1","US","TUS","LAX",451
"YES","f1990","f1","f16","f2","US","TUS","LAX",451
"YES","f1990","f1","f17","f3","US","TUS","LAX",451
"YES","f1990","f1","f19","f5","US","TUS","LAX",451
"YES","f1990","f1","f20","f6","US","TUS","LAX",451
"YES","f1990","f1","f21","f7","US","TUS","LAX",451
"YES","f1990","f1","f22","f1","US","TUS","LAX",451
"YES","f1990","f1","f23","f2","US","TUS","LAX",451
"YES","f1990","f1","f24","f3","US","TUS","LAX",451
"YES","f1990","f1","f25","f4","US","TUS","LAX",451
"YES","f1990","f1","f26","f5","US","TUS","LAX",451
"YES","f1990","f1","f27","f6","US","TUS","LAX",451
"YES","f1990","f1","f28","f7","US","TUS","LAX",451
"NO","f1990","f1","f30","f2","US","TUS","LAX",451
"YES","f1990","f1","f31","f3","US","TUS","LAX",451
"YES","f1990","f1","f1","f1","US","PIT","ISP",375
"YES","f1990","f1","f2","f2","US","PIT","ISP",375
"YES","f1990","f1","f3","f3","US","PIT","ISP",375
"YES","f1990","f1","f4","f4","US","PIT","ISP",375
"NO","f1990","f1","f5","f5","US","PIT","ISP",375
"NO","f1990","f1","f6","f6","US","PIT","ISP",375
"YES","f1990","f1","f7","f7","US","PIT","ISP",375
"NO","f1990","f1","f8","f1","US","PIT","ISP",375
"YES","f1990","f1","f9","f2","US","PIT","ISP",375
"YES","f1990","f1","f10","f3","US","PIT","ISP",375
"NO","f1990","f1","f11","f4","US","PIT","ISP",375
"YES","f1990","f1","f12","f5","US","PIT","ISP",375
"YES","f1990","f1","f13","f6","US","PIT","ISP",375
"NO","f1990","f1","f14","f7","US","PIT","ISP",375
"YES","f1990","f1","f16","f2","US","PIT","ISP",375
"NO","f1990","f1","f17","f3","US","PIT","ISP",375
"NO","f1990","f1","f18","f4","US","PIT","ISP",375
"NO","f1990","f1","f19","f5","US","PIT","ISP",375
"YES","f1990","f1","f20","f6","US","PIT","ISP",375
"NO","f1990","f1","f21","f7","US","PIT","ISP",375
"YES","f1990","f1","f22","f1","US","PIT","ISP",375
"YES","f1990","f1","f24","f3","US","PIT","ISP",375
"NO","f1990","f1","f25","f4","US","PIT","ISP",375
"YES","f1990","f1","f26","f5","US","PIT","ISP",375
"NO","f1990","f1","f28","f7","US","PIT","ISP",375
"YES","f1990","f1","f29","f1","US","PIT","ISP",375
"NO","f1990","f1","f31","f3","US","PIT","ISP",375
"YES","f1990","f1","f1","f1","US","TYS","PIT",382
"YES","f1990","f1","f2","f2","US","TYS","PIT",382
"YES","f1990","f1","f3","f3","US","TYS","PIT",382
"YES","f1990","f1","f4","f4","US","TYS","PIT",382
"YES","f1990","f1","f7","f7","US","TYS","PIT",382
"NO","f1990","f1","f8","f1","US","TYS","PIT",382
"YES","f1990","f1","f9","f2","US","TYS","PIT",382
"NO","f1990","f1","f10","f3","US","TYS","PIT",382
"NO","f1990","f1","f11","f4","US","TYS","PIT",382
"NO","f1990","f1","f12","f5","US","TYS","PIT",382
"NO","f1990","f1","f13","f6","US","TYS","PIT",382
"NO","f1990","f1","f14","f7","US","TYS","PIT",382
"NO","f1990","f1","f16","f2","US","TYS","PIT",382
"NO","f1990","f1","f17","f3","US","TYS","PIT",382
"NO","f1990","f1","f18","f4","US","TYS","PIT",382
"NO","f1990","f1","f19","f5","US","TYS","PIT",382
"YES","f1990","f1","f20","f6","US","TYS","PIT",382
"NO","f1990","f1","f21","f7","US","TYS","PIT",382
"NO","f1990","f1","f22","f1","US","TYS","PIT",382
"YES","f1990","f1","f24","f3","US","TYS","PIT",382
"YES","f1990","f1","f25","f4","US","TYS","PIT",382
"YES","f1990","f1","f26","f5","US","TYS","PIT",382
"NO","f1990","f1","f28","f7","US","TYS","PIT",382
"YES","f1990","f1","f29","f1","US","TYS","PIT",382
"NO","f1990","f1","f30","f2","US","TYS","PIT",382
"YES","f1990","f1","f31","f3","US","TYS","PIT",382
"YES","f1990","f1","f2","f2","US","IND","LAS",1591
"YES","f1990","f1","f3","f3","US","IND","LAS",1591
"YES","f1990","f1","f4","f4","US","IND","LAS",1591
"YES","f1990","f1","f5","f5","US","IND","LAS",1591
"YES","f1990","f1","f6","f6","US","IND","LAS",1591
"YES","f1990","f1","f7","f7","US","IND","LAS",1591
"NO","f1990","f1","f10","f3","US","IND","LAS",1591
"YES","f1990","f1","f11","f4","US","IND","LAS",1591
"YES","f1990","f1","f12","f5","US","IND","LAS",1591
"YES","f1990","f1","f13","f6","US","IND","LAS",1591
"YES","f1990","f1","f14","f7","US","IND","LAS",1591
"YES","f1990","f1","f15","f1","US","IND","LAS",1591
"YES","f1990","f1","f16","f2","US","IND","LAS",1591
"YES","f1990","f1","f17","f3","US","IND","LAS",1591
"YES","f1990","f1","f18","f4","US","IND","LAS",1591
"YES","f1990","f1","f20","f6","US","IND","LAS",1591
"YES","f1990","f1","f21","f7","US","IND","LAS",1591
"YES","f1990","f1","f22","f1","US","IND","LAS",1591
"YES","f1990","f1","f23","f2","US","IND","LAS",1591
"YES","f1990","f1","f24","f3","US","IND","LAS",1591
"YES","f1990","f1","f25","f4","US","IND","LAS",1591
"YES","f1990","f1","f26","f5","US","IND","LAS",1591
"YES","f1990","f1","f27","f6","US","IND","LAS",1591
"YES","f1990","f1","f29","f1","US","IND","LAS",1591
"YES","f1990","f1","f30","f2","US","IND","LAS",1591
"YES","f1990","f1","f31","f3","US","IND","LAS",1591
"YES","f1990","f1","f2","f2","US","LAS","BUR",223
"YES","f1990","f1","f3","f3","US","LAS","BUR",223
"YES","f1990","f1","f6","f6","US","LAS","BUR",223
"NO","f1990","f1","f8","f1","US","LAS","BUR",223
"NO","f1990","f1","f9","f2","US","LAS","BUR",223
"NO","f1990","f1","f10","f3","US","LAS","BUR",223
"YES","f1990","f1","f11","f4","US","LAS","BUR",223
"NO","f1990","f1","f13","f6","US","LAS","BUR",223
"YES","f1990","f1","f14","f7","US","LAS","BUR",223
"YES","f1990","f1","f15","f1","US","LAS","BUR",223
"NO","f1990","f1","f16","f2","US","LAS","BUR",223
"YES","f1990","f1","f17","f3","US","LAS","BUR",223
"YES","f1990","f1","f18","f4","US","LAS","BUR",223
"YES","f1990","f1","f21","f7","US","LAS","BUR",223
"YES","f1990","f1","f22","f1","US","LAS","BUR",223
"YES","f1990","f1","f23","f2","US","LAS","BUR",223
"NO","f1990","f1","f24","f3","US","LAS","BUR",223
"NO","f1990","f1","f25","f4","US","LAS","BUR",223
"YES","f1990","f1","f26","f5","US","LAS","BUR",223
"YES","f1990","f1","f27","f6","US","LAS","BUR",223
"YES","f1990","f1","f29","f1","US","LAS","BUR",223
"NO","f1990","f1","f30","f2","US","LAS","BUR",223
"YES","f1990","f1","f31","f3","US","LAS","BUR",223
"YES","f1990","f1","f2","f2","US","PHL","IND",587
"YES","f1990","f1","f3","f3","US","PHL","IND",587
"YES","f1990","f1","f5","f5","US","PHL","IND",587
"YES","f1990","f1","f6","f6","US","PHL","IND",587
"NO","f1990","f1","f7","f7","US","PHL","IND",587
"YES","f1990","f1","f8","f1","US","PHL","IND",587
"YES","f1990","f1","f9","f2","US","PHL","IND",587
"YES","f1990","f1","f10","f3","US","PHL","IND",587
"NO","f1990","f1","f11","f4","US","PHL","IND",587
"YES","f1990","f1","f12","f5","US","PHL","IND",587
"YES","f1990","f1","f13","f6","US","PHL","IND",587
"NO","f1990","f1","f14","f7","US","PHL","IND",587
"YES","f1990","f1","f16","f2","US","PHL","IND",587
"YES","f1990","f1","f17","f3","US","PHL","IND",587
"NO","f1990","f1","f18","f4","US","PHL","IND",587
"YES","f1990","f1","f19","f5","US","PHL","IND",587
"YES","f1990","f1","f20","f6","US","PHL","IND",587
"NO","f1990","f1","f21","f7","US","PHL","IND",587
"YES","f1990","f1","f22","f1","US","PHL","IND",587
"NO","f1990","f1","f23","f2","US","PHL","IND",587
"NO","f1990","f1","f24","f3","US","PHL","IND",587
"NO","f1990","f1","f25","f4","US","PHL","IND",587
"YES","f1990","f1","f26","f5","US","PHL","IND",587
"NO","f1990","f1","f27","f6","US","PHL","IND",587
"NO","f1990","f1","f29","f1","US","PHL","IND",587
"YES","f1990","f1","f30","f2","US","PHL","IND",587
"YES","f1990","f1","f31","f3","US","PHL","IND",587
"YES","f1990","f1","f4","f4","US","PIT","EWR",319
"NO","f1990","f1","f5","f5","US","PIT","EWR",319
"YES","f1990","f1","f8","f1","US","PIT","EWR",319
"YES","f1990","f1","f9","f2","US","PIT","EWR",319
"NO","f1990","f1","f10","f3","US","PIT","EWR",319
"NO","f1990","f1","f11","f4","US","PIT","EWR",319
"YES","f1990","f1","f12","f5","US","PIT","EWR",319
"YES","f1990","f1","f13","f6","US","PIT","EWR",319
"YES","f1990","f1","f14","f7","US","PIT","EWR",319
"NO","f1990","f1","f15","f1","US","PIT","EWR",319
"NO","f1990","f1","f17","f3","US","PIT","EWR",319
"NO","f1990","f1","f18","f4","US","PIT","EWR",319
"YES","f1990","f1","f19","f5","US","PIT","EWR",319
"NO","f1990","f1","f20","f6","US","PIT","EWR",319
"YES","f1990","f1","f21","f7","US","PIT","EWR",319
"NO","f1990","f1","f22","f1","US","PIT","EWR",319
"NO","f1990","f1","f23","f2","US","PIT","EWR",319
"NO","f1990","f1","f24","f3","US","PIT","EWR",319
"YES","f1990","f1","f25","f4","US","PIT","EWR",319
"YES","f1990","f1","f26","f5","US","PIT","EWR",319
"NO","f1990","f1","f27","f6","US","PIT","EWR",319
"NO","f1990","f1","f28","f7","US","PIT","EWR",319
"YES","f1990","f1","f29","f1","US","PIT","EWR",319
"YES","f1990","f1","f30","f2","US","PIT","EWR",319
"YES","f1990","f1","f31","f3","US","PIT","EWR",319
"YES","f1990","f1","f4","f4","US","PSP","SAN",85
"NO","f1990","f1","f5","f5","US","PSP","SAN",85
"YES","f1990","f1","f7","f7","US","PSP","SAN",85
"NO","f1990","f1","f8","f1","US","PSP","SAN",85
"YES","f1990","f1","f9","f2","US","PSP","SAN",85
"YES","f1990","f1","f10","f3","US","PSP","SAN",85
"YES","f1990","f1","f11","f4","US","PSP","SAN",85
"YES","f1990","f1","f12","f5","US","PSP","SAN",85
"YES","f1990","f1","f14","f7","US","PSP","SAN",85
